train_loss_step,epoch,step
2.428123950958252,0,15
2.290807008743286,0,31
2.235222339630127,0,47
2.181504011154175,0,63
2.1303656101226807,0,79
2.1578903198242188,0,95
2.019350528717041,0,111
2.082733631134033,0,127
2.1264901161193848,0,143
1.96173894405365,0,159
1.9943876266479492,0,175
2.120997428894043,0,191
2.0787017345428467,0,207
1.9808673858642578,0,223
1.9900544881820679,0,239
2.084240436553955,0,255
1.9651515483856201,0,271
1.934771180152893,0,287
1.9832429885864258,0,303
1.8996665477752686,0,319
1.9682726860046387,0,335
2.0329504013061523,0,351
1.9804420471191406,0,367
1.9808138608932495,0,383
1.9239084720611572,0,399
1.909138798713684,0,415
1.976665735244751,0,431
1.9591152667999268,0,447
1.9168097972869873,0,463
1.8877098560333252,0,479
1.9267032146453857,0,495
2.025845766067505,0,511
1.9307832717895508,0,527
1.8426462411880493,0,543
1.9529792070388794,0,559
1.9394477605819702,0,575
1.9115947484970093,0,591
1.8611688613891602,0,607
1.892021656036377,0,623
1.8981432914733887,0,639
1.854636549949646,0,655
1.8792903423309326,0,671
1.8567192554473877,0,687
1.9251891374588013,0,703
1.8593326807022095,0,719
1.8223977088928223,0,735
1.898236870765686,0,751
1.828048825263977,0,767
1.8341788053512573,0,783
1.9063477516174316,0,799
1.9105513095855713,0,815
1.838444709777832,0,831
1.8602519035339355,0,847
1.827881097793579,0,863
1.9552018642425537,0,879
1.7722076177597046,0,895
1.831782341003418,0,911
1.9116188287734985,0,927
1.7646669149398804,0,943
1.8806253671646118,0,959
1.8540620803833008,0,975
1.848520278930664,0,991
1.7627431154251099,0,1007
1.8558177947998047,0,1023
1.866759181022644,0,1039
1.8562695980072021,0,1055
1.909511923789978,0,1071
1.858472466468811,0,1087
1.779971957206726,0,1103
1.8764992952346802,0,1119
1.7930946350097656,0,1135
1.8482282161712646,0,1151
1.8412882089614868,0,1167
1.8649065494537354,0,1183
1.7748782634735107,0,1199
1.8957706689834595,0,1215
1.8006161451339722,0,1231
1.7861145734786987,0,1247
1.846404790878296,0,1263
1.7972497940063477,0,1279
1.8443808555603027,0,1295
1.8516565561294556,0,1311
1.932185173034668,0,1327
1.7500736713409424,0,1343
1.762114405632019,0,1359
1.8129057884216309,0,1375
1.882409691810608,0,1391
1.9476289749145508,0,1407
1.8036576509475708,0,1423
1.797524094581604,0,1439
1.8385131359100342,0,1455
1.838643193244934,0,1471
1.8558496236801147,0,1487
1.7435919046401978,0,1503
1.7761847972869873,0,1519
1.8937281370162964,0,1535
1.8884168863296509,0,1551
1.7680346965789795,0,1567
1.8341326713562012,0,1583
1.8401744365692139,0,1599
1.8177355527877808,0,1615
1.8375319242477417,0,1631
1.9412946701049805,0,1647
1.7783671617507935,0,1663
1.7617207765579224,0,1679
1.9233883619308472,0,1695
1.8413969278335571,0,1711
1.7204160690307617,0,1727
1.8289319276809692,0,1743
1.8136062622070312,0,1759
1.9499317407608032,0,1775
1.8555830717086792,0,1791
1.8325313329696655,0,1807
1.7922863960266113,0,1823
1.7878193855285645,0,1839
1.8637394905090332,0,1855
1.887619972229004,0,1871
1.7831196784973145,0,1887
1.8075369596481323,0,1903
1.7524073123931885,0,1919
1.7619613409042358,0,1935
1.8027780055999756,0,1951
1.8450065851211548,0,1967
1.6910483837127686,0,1983
1.831060528755188,0,1999
1.8306227922439575,0,2015
1.7962650060653687,0,2031
